10858129	11188129
14358129	17238129
17238129	19358129
19398129	22158129
22318129	24238129
25398129	26758129
27238129	28078129
28118129	29078129
29078129	30398129
30438129	30758129
30838129	32438129
32478129	33038129
33038129	33678129
33678129	33998129
34158129	34878130
34918130	35278130
35278130	35758130
35758130	35998130
35998130	37518130
37518130	37718130
37758130	38518130
38518130	38958130
39038130	39798130
39798130	40838130
40838130	42518130
42518130	43246931
43246931	43966931
43966931	44246931
44286931	45215572
45215572	45535572
45535572	46215572
46215572	46575572
46615572	47335572
47335572	48119895
