14691871,14701871,16850000,16860000
15271871,15281871,16430000,16440000
16291871,16301871,17700000,17710000
16376871,16381871,17700000,17705000
17681871,17691871,18950000,18960000
17971871,17976871,19275000,19280000
21291871,21301871,22740000,22750000
21291871,21301871,23060000,23070000
21521871,21531871,23290000,23300000
25191871,25201871,26760000,26770000
25711871,25721871,26930000,26940000
25901871,25906871,27080000,27085000
26176871,26181871,27540000,27545000
27061871,27066871,28205000,28210000
27131871,27141871,30170000,30180000
27131871,27141871,30310000,30320000
27141871,27146871,29070000,29075000
27141871,27146871,29420000,29425000
27141871,27146871,29705000,29710000
27141871,27146871,30115000,30120000
27991871,27996871,29705000,29710000
27991871,27996871,30115000,30120000
27991871,28001871,29420000,29430000
28341871,28351871,30110000,30120000
28351871,28361871,29690000,29700000
28626871,28631871,30115000,30120000
28631871,28641871,29890000,29900000
28811871,28821871,30110000,30120000
29036871,29041871,30310000,30315000
29321871,29326871,30435000,30440000
29371871,29376871,30735000,30740000
29376871,29381871,31220000,31225000
29381871,29391871,30530000,30540000
29451871,29461871,30710000,30720000
29456871,29461871,30740000,30745000
29461871,29471871,30660000,30670000
29761871,29771871,31220000,31230000
31391871,31396871,32550000,32555000
31391871,31401871,32970000,32980000
31491871,31496871,32950000,32955000
32081871,32091871,33630000,33640000
32156871,32161871,33630000,33635000
32696871,32701871,33970000,33975000
32701871,32711871,33930000,33940000
33491870,33496870,34815000,34820000
34211870,34221870,35460000,35470000
34211870,34221870,35570000,35580000
34216870,34221870,35720000,35725000
34656870,34661870,36000000,36005000
34731870,34741870,36000000,36010000
34811870,34816870,35970000,35975000
35036870,35041870,36245000,36250000
35171870,35181870,37310000,37320000
35181870,35186870,36575000,36580000
35181870,35191870,36770000,36780000
35181870,35191870,37210000,37220000
35201870,35211870,36410000,36420000
35691870,35701870,37210000,37220000
36441870,36446870,37700000,37705000
36711870,36716870,38300000,38305000
36796870,36801870,38300000,38305000
37046870,37051870,38280000,38285000
37261870,37271870,38450000,38460000
37541870,37551870,38740000,38750000
37991870,38001870,39720000,39730000
38001870,38011870,39500000,39510000
38451870,38456870,39725000,39730000
38506870,38511870,39720000,39725000
38791870,38801870,40510000,40520000
39021870,39026870,40505000,40510000
39096870,39101870,40505000,40510000
39811870,39816870,41085000,41090000
41571870,41581870,42830000,42840000
42233069,42243069,43530000,43540000
42883069,42893069,44240000,44250000
43208069,43213069,44525000,44530000
43453069,43463069,45070000,45080000
44049428,44054428,45385000,45390000
44379428,44384428,45720000,45725000
45034428,45044428,46350000,46360000
45139428,45144428,46355000,46360000
45189428,45194428,46545000,46550000
45194428,45204428,46490000,46500000
45384428,45394428,46700000,46710000
45384428,45394428,47240000,47250000
45534428,45539428,46865000,46870000
45534428,45539428,47235000,47240000
45569428,45574428,46780000,46785000
45714428,45724428,47240000,47250000
45794428,45804428,47340000,47350000
45799428,45804428,47235000,47240000
46229428,46234428,47510000,47515000
